run_index,seed,model,attack,epsilon,accuracy
1,42,baseline,fgsm,0.0,0.993
1,42,baseline,fgsm,0.01,0.9897
1,42,baseline,fgsm,0.02,0.9864
1,42,baseline,fgsm,0.05,0.972
1,42,baseline,fgsm,0.1,0.9132
1,42,baseline,fgsm,0.2,0.5242
1,42,baseline,fgsm,0.6,0.0656
1,42,baseline,pgd,0.0,0.993
1,42,baseline,pgd,0.01,0.9897
1,42,baseline,pgd,0.02,0.9862
1,42,baseline,pgd,0.05,0.9661
1,42,baseline,pgd,0.1,0.8219
1,42,baseline,pgd,0.2,0.0156
1,42,baseline,pgd,0.6,0.0
1,42,standard_kd,fgsm,0.0,0.9881
1,42,standard_kd,fgsm,0.01,0.9851
1,42,standard_kd,fgsm,0.02,0.9821
1,42,standard_kd,fgsm,0.05,0.9706
1,42,standard_kd,fgsm,0.1,0.9467
1,42,standard_kd,fgsm,0.2,0.9346
1,42,standard_kd,fgsm,0.6,0.9364
1,42,standard_kd,pgd,0.0,0.9881
1,42,standard_kd,pgd,0.01,0.9851
1,42,standard_kd,pgd,0.02,0.9802
1,42,standard_kd,pgd,0.05,0.9573
1,42,standard_kd,pgd,0.1,0.9301
1,42,standard_kd,pgd,0.2,0.9167
1,42,standard_kd,pgd,0.6,0.6118
1,42,adv_training,fgsm,0.0,0.9922
1,42,adv_training,fgsm,0.01,0.9912
1,42,adv_training,fgsm,0.02,0.9898
1,42,adv_training,fgsm,0.05,0.9864
1,42,adv_training,fgsm,0.1,0.9772
1,42,adv_training,fgsm,0.2,0.9204
1,42,adv_training,fgsm,0.6,0.1195
1,42,adv_training,pgd,0.0,0.9922
1,42,adv_training,pgd,0.01,0.9912
1,42,adv_training,pgd,0.02,0.9896
1,42,adv_training,pgd,0.05,0.9859
1,42,adv_training,pgd,0.1,0.9707
1,42,adv_training,pgd,0.2,0.5132
1,42,adv_training,pgd,0.6,0.0
1,42,adv_kd,fgsm,0.0,0.9899
1,42,adv_kd,fgsm,0.01,0.9883
1,42,adv_kd,fgsm,0.02,0.9856
1,42,adv_kd,fgsm,0.05,0.977
1,42,adv_kd,fgsm,0.1,0.9565
1,42,adv_kd,fgsm,0.2,0.9389
1,42,adv_kd,fgsm,0.6,0.9418
1,42,adv_kd,pgd,0.0,0.9899
1,42,adv_kd,pgd,0.01,0.9882
1,42,adv_kd,pgd,0.02,0.9843
1,42,adv_kd,pgd,0.05,0.9643
1,42,adv_kd,pgd,0.1,0.9245
1,42,adv_kd,pgd,0.2,0.8582
1,42,adv_kd,pgd,0.6,0.1449
1,42,baseline_diffaug,fgsm,0.0,0.9914
1,42,baseline_diffaug,fgsm,0.01,0.9893
1,42,baseline_diffaug,fgsm,0.02,0.9851
1,42,baseline_diffaug,fgsm,0.05,0.9689
1,42,baseline_diffaug,fgsm,0.1,0.9019
1,42,baseline_diffaug,fgsm,0.2,0.5807
1,42,baseline_diffaug,fgsm,0.6,0.0858
1,42,baseline_diffaug,pgd,0.0,0.9914
1,42,baseline_diffaug,pgd,0.01,0.9893
1,42,baseline_diffaug,pgd,0.02,0.9846
1,42,baseline_diffaug,pgd,0.05,0.9651
1,42,baseline_diffaug,pgd,0.1,0.8374
1,42,baseline_diffaug,pgd,0.2,0.0496
1,42,baseline_diffaug,pgd,0.6,0.0
1,42,adv_training_diffaug,fgsm,0.0,0.9921
1,42,adv_training_diffaug,fgsm,0.01,0.9911
1,42,adv_training_diffaug,fgsm,0.02,0.9905
1,42,adv_training_diffaug,fgsm,0.05,0.988
1,42,adv_training_diffaug,fgsm,0.1,0.9814
1,42,adv_training_diffaug,fgsm,0.2,0.9662
1,42,adv_training_diffaug,fgsm,0.6,0.1505
1,42,adv_training_diffaug,pgd,0.0,0.9921
1,42,adv_training_diffaug,pgd,0.01,0.991
1,42,adv_training_diffaug,pgd,0.02,0.9904
1,42,adv_training_diffaug,pgd,0.05,0.9866
1,42,adv_training_diffaug,pgd,0.1,0.9737
1,42,adv_training_diffaug,pgd,0.2,0.7958
1,42,adv_training_diffaug,pgd,0.6,0.0
1,42,adv_kd_diffaug,fgsm,0.0,0.9912
1,42,adv_kd_diffaug,fgsm,0.01,0.9897
1,42,adv_kd_diffaug,fgsm,0.02,0.9881
1,42,adv_kd_diffaug,fgsm,0.05,0.9826
1,42,adv_kd_diffaug,fgsm,0.1,0.9604
1,42,adv_kd_diffaug,fgsm,0.2,0.852
1,42,adv_kd_diffaug,fgsm,0.6,0.115
1,42,adv_kd_diffaug,pgd,0.0,0.9912
1,42,adv_kd_diffaug,pgd,0.01,0.9897
1,42,adv_kd_diffaug,pgd,0.02,0.9878
1,42,adv_kd_diffaug,pgd,0.05,0.9807
1,42,adv_kd_diffaug,pgd,0.1,0.9451
1,42,adv_kd_diffaug,pgd,0.2,0.5537
1,42,adv_kd_diffaug,pgd,0.6,0.0
2,43,baseline,fgsm,0.0,0.9929
2,43,baseline,fgsm,0.01,0.9905
2,43,baseline,fgsm,0.02,0.9872
2,43,baseline,fgsm,0.05,0.9725
2,43,baseline,fgsm,0.1,0.9195
2,43,baseline,fgsm,0.2,0.604
2,43,baseline,fgsm,0.6,0.0995
2,43,baseline,pgd,0.0,0.9929
2,43,baseline,pgd,0.01,0.9904
2,43,baseline,pgd,0.02,0.987
2,43,baseline,pgd,0.05,0.9699
2,43,baseline,pgd,0.1,0.8737
2,43,baseline,pgd,0.2,0.0685
2,43,baseline,pgd,0.6,0.0
2,43,standard_kd,fgsm,0.0,0.9902
2,43,standard_kd,fgsm,0.01,0.9879
2,43,standard_kd,fgsm,0.02,0.9845
2,43,standard_kd,fgsm,0.05,0.9769
2,43,standard_kd,fgsm,0.1,0.9561
2,43,standard_kd,fgsm,0.2,0.9403
2,43,standard_kd,fgsm,0.6,0.9403
2,43,standard_kd,pgd,0.0,0.9902
2,43,standard_kd,pgd,0.01,0.9878
2,43,standard_kd,pgd,0.02,0.9836
2,43,standard_kd,pgd,0.05,0.9677
2,43,standard_kd,pgd,0.1,0.9376
2,43,standard_kd,pgd,0.2,0.9224
2,43,standard_kd,pgd,0.6,0.6312
2,43,adv_training,fgsm,0.0,0.994
2,43,adv_training,fgsm,0.01,0.9928
2,43,adv_training,fgsm,0.02,0.9915
2,43,adv_training,fgsm,0.05,0.9872
2,43,adv_training,fgsm,0.1,0.9765
2,43,adv_training,fgsm,0.2,0.9154
2,43,adv_training,fgsm,0.6,0.1064
2,43,adv_training,pgd,0.0,0.994
2,43,adv_training,pgd,0.01,0.9928
2,43,adv_training,pgd,0.02,0.9915
2,43,adv_training,pgd,0.05,0.9862
2,43,adv_training,pgd,0.1,0.9687
2,43,adv_training,pgd,0.2,0.5712
2,43,adv_training,pgd,0.6,0.0
2,43,adv_kd,fgsm,0.0,0.9905
2,43,adv_kd,fgsm,0.01,0.9874
2,43,adv_kd,fgsm,0.02,0.9851
2,43,adv_kd,fgsm,0.05,0.9786
2,43,adv_kd,fgsm,0.1,0.9632
2,43,adv_kd,fgsm,0.2,0.9301
2,43,adv_kd,fgsm,0.6,0.9278
2,43,adv_kd,pgd,0.0,0.9905
2,43,adv_kd,pgd,0.01,0.9874
2,43,adv_kd,pgd,0.02,0.9848
2,43,adv_kd,pgd,0.05,0.9723
2,43,adv_kd,pgd,0.1,0.9345
2,43,adv_kd,pgd,0.2,0.8781
2,43,adv_kd,pgd,0.6,0.2543
2,43,baseline_diffaug,fgsm,0.0,0.9924
