run_index,seed,model,clean_accuracy
1,42,baseline,0.993
1,42,standard_kd,0.9881
1,42,adv_training,0.9922
1,42,adv_kd,0.9899
1,42,baseline_diffaug,0.9914
1,42,adv_training_diffaug,0.9921
1,42,adv_kd_diffaug,0.9912
2,43,baseline,0.9929
2,43,standard_kd,0.9902
2,43,adv_training,0.994
2,43,adv_kd,0.9905
2,43,baseline_diffaug,0.9924
2,43,adv_training_diffaug,0.9935
2,43,adv_kd_diffaug,0.992
3,44,baseline,0.9926
3,44,standard_kd,0.9872
3,44,adv_training,0.9923
3,44,adv_kd,0.9889
3,44,baseline_diffaug,0.9932
3,44,adv_training_diffaug,0.9936
3,44,adv_kd_diffaug,0.9931
