model,attack,epsilon,mean_accuracy,std_accuracy,num_runs,accuracies
adv_kd,fgsm,0.0,0.9897666666666667,0.000808290376865497,3,0.989900;0.990500;0.988900
adv_kd,fgsm,0.01,0.9872,0.0012124355652981997,3,0.988300;0.987400;0.985900
adv_kd,fgsm,0.02,0.9848333333333333,0.0009291573243177621,3,0.985600;0.985100;0.983800
adv_kd,fgsm,0.05,0.9768666666666667,0.0018036999011291808,3,0.977000;0.978600;0.975000
adv_kd,fgsm,0.1,0.9572333333333333,0.005635896852616557,3,0.956500;0.963200;0.952000
adv_kd,fgsm,0.2,0.9329333333333333,0.005169461609619816,3,0.938900;0.930100;0.929800
adv_kd,fgsm,0.6,0.9330999999999999,0.007594076639065481,3,0.941800;0.927800;0.929700
adv_kd_diffaug,fgsm,0.0,0.9921000000000001,0.0009539392014169512,3,0.991200;0.992000;0.993100
adv_kd_diffaug,fgsm,0.01,0.9907,0.0011789826122551523,3,0.989700;0.990400;0.992000
adv_kd_diffaug,fgsm,0.02,0.9887666666666667,0.0006506407098647564,3,0.988100;0.988800;0.989400
adv_kd_diffaug,fgsm,0.05,0.9821333333333334,0.001078579312490904,3,0.982600;0.980900;0.982900
adv_kd_diffaug,fgsm,0.1,0.9624333333333333,0.0017953644012660011,3,0.960400;0.963100;0.963800
adv_kd_diffaug,fgsm,0.2,0.8574,0.009877246579892598,3,0.852000;0.851400;0.868800
adv_kd_diffaug,fgsm,0.6,0.10383333333333333,0.009681081206834979,3,0.115000;0.097800;0.098700
adv_training,fgsm,0.0,0.9928333333333333,0.0010115993936995844,3,0.992200;0.994000;0.992300
adv_training,fgsm,0.01,0.9918,0.0008717797887081661,3,0.991200;0.992800;0.991400
adv_training,fgsm,0.02,0.9904333333333334,0.0009291573243177821,3,0.989800;0.991500;0.990000
adv_training,fgsm,0.05,0.9863333333333334,0.000901849950564537,3,0.986400;0.987200;0.985400
adv_training,fgsm,0.1,0.9762666666666666,0.001069267662156366,3,0.977200;0.976500;0.975100
adv_training,fgsm,0.2,0.9126,0.009514199913813021,3,0.920400;0.915400;0.902000
adv_training,fgsm,0.6,0.10863333333333332,0.009939986586174714,3,0.119500;0.106400;0.100000
adv_training_diffaug,fgsm,0.0,0.9930666666666667,0.0008386497083606439,3,0.992100;0.993500;0.993600
adv_training_diffaug,fgsm,0.01,0.9922,0.000984885780179626,3,0.991100;0.992500;0.993000
adv_training_diffaug,fgsm,0.02,0.9912666666666667,0.0006806859285553922,3,0.990500;0.991500;0.991800
adv_training_diffaug,fgsm,0.05,0.9880666666666666,0.0014011899704655937,3,0.988000;0.986700;0.989500
adv_training_diffaug,fgsm,0.1,0.9811666666666666,0.0020599352740640507,3,0.981400;0.979000;0.983100
adv_training_diffaug,fgsm,0.2,0.9556999999999999,0.016401524319403966,3,0.966200;0.936800;0.964100
adv_training_diffaug,fgsm,0.6,0.12353333333333334,0.02546415781708347,3,0.150500;0.099900;0.120200
baseline,fgsm,0.0,0.9928333333333333,0.00020816659994659034,3,0.993000;0.992900;0.992600
baseline,fgsm,0.01,0.9897999999999999,0.0006557438524302378,3,0.989700;0.990500;0.989200
baseline,fgsm,0.02,0.9865666666666666,0.0005686240703077156,3,0.986400;0.987200;0.986100
baseline,fgsm,0.05,0.9714333333333333,0.0014364307617610254,3,0.972000;0.972500;0.969800
baseline,fgsm,0.1,0.9153333333333333,0.0036087855759705705,3,0.913200;0.919500;0.913300
baseline,fgsm,0.2,0.5494333333333333,0.047300563773948104,3,0.524200;0.604000;0.520100
baseline,fgsm,0.6,0.08839999999999999,0.019747658088998803,3,0.065600;0.099500;0.100100
baseline_diffaug,fgsm,0.0,0.9923333333333333,0.0009018499505645904,3,0.991400;0.992400;0.993200
baseline_diffaug,fgsm,0.01,0.9893666666666666,0.0010016652800877819,3,0.989300;0.988400;0.990400
baseline_diffaug,fgsm,0.02,0.9854333333333334,0.0009451631252505429,3,0.985100;0.984700;0.986500
baseline_diffaug,fgsm,0.05,0.9689,0.0014000000000000123,3,0.968900;0.967500;0.970300
baseline_diffaug,fgsm,0.1,0.9012333333333333,0.009617345441094093,3,0.901900;0.891300;0.910500
baseline_diffaug,fgsm,0.2,0.5236999999999999,0.07104899717800385,3,0.580700;0.444100;0.546300
baseline_diffaug,fgsm,0.6,0.08976666666666666,0.004162130864513194,3,0.085800;0.094100;0.089400
standard_kd,fgsm,0.0,0.9885,0.0015394804318340652,3,0.988100;0.990200;0.987200
standard_kd,fgsm,0.01,0.9853666666666666,0.0024110855093366973,3,0.985100;0.987900;0.983100
standard_kd,fgsm,0.02,0.9819,0.002705549851693771,3,0.982100;0.984500;0.979100
standard_kd,fgsm,0.05,0.9712,0.005424942396007551,3,0.970600;0.976900;0.966100
standard_kd,fgsm,0.1,0.9469333333333333,0.009052255704150946,3,0.946700;0.956100;0.938000
standard_kd,fgsm,0.2,0.9317000000000001,0.010359054010864118,3,0.934600;0.940300;0.920200
standard_kd,fgsm,0.6,0.932,0.011170049238924607,3,0.936400;0.940300;0.919300
adv_kd,pgd,0.0,0.9897666666666667,0.000808290376865497,3,0.989900;0.990500;0.988900
adv_kd,pgd,0.01,0.9871666666666666,0.0011676186592091248,3,0.988200;0.987400;0.985900
adv_kd,pgd,0.02,0.9839666666666668,0.0010408329997330585,3,0.984300;0.984800;0.982800
adv_kd,pgd,0.05,0.9675333333333334,0.004214656965084287,3,0.964300;0.972300;0.966000
adv_kd,pgd,0.1,0.9257666666666666,0.008173942337289472,3,0.924500;0.934500;0.918300
adv_kd,pgd,0.2,0.8537333333333333,0.026879794146037167,3,0.858200;0.878100;0.824900
adv_kd,pgd,0.6,0.18786666666666665,0.0583532632620776,3,0.144900;0.254300;0.164400
adv_kd_diffaug,pgd,0.0,0.9921000000000001,0.0009539392014169512,3,0.991200;0.992000;0.993100
