model,attack,epsilon,accuracy
baseline,fgsm,0.0,0.993
baseline,fgsm,0.01,0.9897
baseline,fgsm,0.02,0.9864
baseline,fgsm,0.05,0.972
baseline,fgsm,0.1,0.9132
baseline,fgsm,0.2,0.5242
baseline,fgsm,0.6,0.0656
baseline,pgd,0.0,0.993
baseline,pgd,0.01,0.9897
baseline,pgd,0.02,0.9862
baseline,pgd,0.05,0.9661
baseline,pgd,0.1,0.8219
baseline,pgd,0.2,0.0156
baseline,pgd,0.6,0.0
standard_kd,fgsm,0.0,0.9881
standard_kd,fgsm,0.01,0.9851
standard_kd,fgsm,0.02,0.9821
standard_kd,fgsm,0.05,0.9706
standard_kd,fgsm,0.1,0.9467
standard_kd,fgsm,0.2,0.9346
standard_kd,fgsm,0.6,0.9364
standard_kd,pgd,0.0,0.9881
standard_kd,pgd,0.01,0.9851
standard_kd,pgd,0.02,0.9802
standard_kd,pgd,0.05,0.9573
standard_kd,pgd,0.1,0.9301
standard_kd,pgd,0.2,0.9167
standard_kd,pgd,0.6,0.6118
adv_training,fgsm,0.0,0.9922
adv_training,fgsm,0.01,0.9912
adv_training,fgsm,0.02,0.9898
adv_training,fgsm,0.05,0.9864
adv_training,fgsm,0.1,0.9772
adv_training,fgsm,0.2,0.9204
adv_training,fgsm,0.6,0.1195
adv_training,pgd,0.0,0.9922
adv_training,pgd,0.01,0.9912
adv_training,pgd,0.02,0.9896
adv_training,pgd,0.05,0.9859
adv_training,pgd,0.1,0.9707
adv_training,pgd,0.2,0.5132
adv_training,pgd,0.6,0.0
adv_kd,fgsm,0.0,0.9899
adv_kd,fgsm,0.01,0.9883
adv_kd,fgsm,0.02,0.9856
adv_kd,fgsm,0.05,0.977
adv_kd,fgsm,0.1,0.9565
adv_kd,fgsm,0.2,0.9389
adv_kd,fgsm,0.6,0.9418
adv_kd,pgd,0.0,0.9899
adv_kd,pgd,0.01,0.9882
adv_kd,pgd,0.02,0.9843
adv_kd,pgd,0.05,0.9643
adv_kd,pgd,0.1,0.9245
adv_kd,pgd,0.2,0.8582
adv_kd,pgd,0.6,0.1449
baseline_diffaug,fgsm,0.0,0.9914
baseline_diffaug,fgsm,0.01,0.9893
baseline_diffaug,fgsm,0.02,0.9851
baseline_diffaug,fgsm,0.05,0.9689
baseline_diffaug,fgsm,0.1,0.9019
baseline_diffaug,fgsm,0.2,0.5807
baseline_diffaug,fgsm,0.6,0.0858
baseline_diffaug,pgd,0.0,0.9914
baseline_diffaug,pgd,0.01,0.9893
baseline_diffaug,pgd,0.02,0.9846
baseline_diffaug,pgd,0.05,0.9651
baseline_diffaug,pgd,0.1,0.8374
baseline_diffaug,pgd,0.2,0.0496
baseline_diffaug,pgd,0.6,0.0
adv_training_diffaug,fgsm,0.0,0.9921
adv_training_diffaug,fgsm,0.01,0.9911
adv_training_diffaug,fgsm,0.02,0.9905
adv_training_diffaug,fgsm,0.05,0.988
adv_training_diffaug,fgsm,0.1,0.9814
adv_training_diffaug,fgsm,0.2,0.9662
adv_training_diffaug,fgsm,0.6,0.1505
adv_training_diffaug,pgd,0.0,0.9921
adv_training_diffaug,pgd,0.01,0.991
adv_training_diffaug,pgd,0.02,0.9904
adv_training_diffaug,pgd,0.05,0.9866
adv_training_diffaug,pgd,0.1,0.9737
adv_training_diffaug,pgd,0.2,0.7958
adv_training_diffaug,pgd,0.6,0.0
adv_kd_diffaug,fgsm,0.0,0.9912
adv_kd_diffaug,fgsm,0.01,0.9897
adv_kd_diffaug,fgsm,0.02,0.9881
adv_kd_diffaug,fgsm,0.05,0.9826
adv_kd_diffaug,fgsm,0.1,0.9604
adv_kd_diffaug,fgsm,0.2,0.852
adv_kd_diffaug,fgsm,0.6,0.115
adv_kd_diffaug,pgd,0.0,0.9912
adv_kd_diffaug,pgd,0.01,0.9897
adv_kd_diffaug,pgd,0.02,0.9878
adv_kd_diffaug,pgd,0.05,0.9807
adv_kd_diffaug,pgd,0.1,0.9451
adv_kd_diffaug,pgd,0.2,0.5537
adv_kd_diffaug,pgd,0.6,0.0
